,content,label,token
0,本报北京4月17日电（中国青年报·中青在线记者蒋肖斌）文化和旅游部近期再次组织开展网络表演、网络游戏市场集中执法检查。,1,本报 北京 NUM 月 NUM 日电 中国青年报 中 青 在线 记者 蒋肖斌 文化 和 旅游部 近期 再次 组织 开展 网络 表演 网络游戏 市场 集中 执法检查
1,集中排查手机表演平台传播渠道，部署腾讯、百度、阿里、360、华为、小米、联想、OPPO、VIVO等主要互联网应用商店开展手机表演平台专项清理，共排查手机直播应用4939款，删除下线手机表演平台370款，责令补充主体资质材料77款。,1,集中 排查 手机 表演 平台 传播 渠道 部署 腾讯 百度 阿里 NUM 华为 小米 联想 ENG ENG 等 主要 互联网 应用 商店 开展 手机 表演 平台 专项 清理 共 排查 手机 直播 应用 NUM 款 删除 下线 手机 表演 平台 NUM 款 责令 补充 主体 资质 材料 NUM 款
2,集中排查网络表演市场禁止内容，对花椒直播、六间房、熊猫直播、斗鱼直播、虎牙直播等30家网络表演平台开展集中执法检查。目前，已排查出危害社会公德、宣扬暴力等禁止内容类问题190处，涉及直播间110间，正在部署后续检查和查处工作。,1,集中 排查 网络 表演 市场 禁止 内容 对 花椒 直播 六间房 熊猫 直播 斗鱼 直播 虎牙 直播 等 NUM 家 网络 表演 平台 开展 集中 执法检查 目前 已 排查 出 危害 社会公德 宣扬 暴力 等 禁止 内容 类 问题 NUM 处 涉及 直播间 NUM 间 正在 部署 后续 检查和 查处 工作
3,集中排查网络游戏市场禁止内容，对“楚留香”“恋与制作人”等50款网络游戏产品进行集中排查清理。重点检查事项为：提供含有淫秽色情、危害社会公德、宣扬暴力、赌博、教唆犯罪等禁止内容的网络游戏产品和服务等。,1,集中 排查 网络游戏 市场 禁止 内容 对 楚留香 恋 与 制作 人 等 NUM 款 网络游戏 产品 进行 集中 排查 清理 重点 检查 事项 为 提供 含有 淫秽 色情 危害 社会公德 宣扬 暴力 赌博 教唆 犯罪 等 禁止 内容 的 网络游戏 产品 和 服务 等
4,文化和旅游部文化市场司有关负责人表示，对网络表演、网络游戏集中执法检查中发现的违法违规经营行为，将依法依规严肃查处，查处结果将及时向社会公布。文化和旅游部同时公布了网络文化市场集中执法检查举报电话（010-59881010）和举报平台（www.12318.gov.cn），欢迎社会公众举报监督违法违规网络表演和网络游戏经营活动。,1,文化 和 旅游部 文化 市场 司 有关 负责人 表示 对 网络 表演 网络游戏 集中 执法检查 中 发现 的 违法 违规 经营 行为 将 依法 依规 严肃查处 查处 结果 将 及时 向 社会 公布 文化 和 旅游部 同时 公布 了 网络 文化 市场 集中 执法检查 举报电话 NUM NUM 和 举报 平台 ENG NUM ENG ENG 欢迎 社会公众 举报 监督 违法 违规 网络 表演 和 网络游戏 经营 活动
5,来源：中国青年报（2018年04月18日04版）,1,来源 中国青年报 NUM 年 NUM 月 NUM 日 NUM 版
6,不必罗列那些枯燥的数据，一个尽人皆知的事实是：以国别论，法国是世界第一大旅游目的地。联合国旅游组织8月3日最新发布的年度数据显示，尽管遭遇多起暴恐事件，法国2016年仍然蝉联全球最受欢迎的旅游目的地。,1,不必 罗列 那些 枯燥 的 数据 一个 尽人皆知 的 事实 是 以 国别 论 法国 是 世界 第一 大 旅游 目的地 联合国 旅游 组织 NUM 月 NUM 日 最新 发布 的 年度 数据 显示 尽管 遭遇 多起 暴恐 事件 法国 NUM 年 仍然 蝉联 全球 最 受欢迎 的 旅游 目的地
7,旅游之于法国是如此重要，以至于法国欧洲与外交部组织国际交流活动时，经常是以旅游为主题的。不久前，法国欧洲与外交部邀请中国记者一行7人赴法体验、采访，主题就是“文化旅游与美食旅游”“发现普罗旺斯与蔚蓝海岸”。,1,旅游 之 于 法国 是 如此 重要 以至于 法国 欧洲 与 外交部 组织 国际交流 活动 时 经常 是 以 旅游 为 主题 的 不久前 法国 欧洲 与 外交部 邀请 中国 记者 一行 NUM 人 赴法 体验 采访 主题 就是 文化 旅游 与 美食 旅游 发现 普罗旺斯 与 蔚蓝海岸
8,采访主题之外，在当前情势下说到“法国旅游”，无论如何回避不了一个关切：安全。毕竟，在欧洲、在法国，近几年甚至近几个月，发生了太多的暴力或恐袭事件。就在记者一行到达法国之前数天，巴黎圣母院附近发生了暴徒锤击警察的事件，900多名游客滞留一个多小时才被疏散。飞抵法国南部著名旅游城市尼斯之前不到一年时间的2016年7月14日（法国国庆日）夜间，一辆大卡车在这里撞向正在观看焰火表演的人群，造成至少84人死亡、202人受伤的惨剧。,0,采访 主题 之外 在 当前 情势 下 说 到 法国 旅游 无论如何 回避 不了 一个 关切 安全 毕竟 在 欧洲 在 法国 近几年 甚至 近几个月 发生 了 太 多 的 暴力 或 恐袭 事件 就 在 记者 一行 到达 法国 之前 数天 巴黎圣母院 附近 发生 了 暴徒 锤击 警察 的 事件 NUM 多名 游客 滞留 一个多 小时 才 被 疏散 飞抵 法国 南部 著名 旅游 城市 尼斯 之前 不到 一年 时间 的 NUM 年 NUM 月 NUM 日 法国 国庆日 夜间 一辆 大卡车 在 这里 撞 向 正在 观看 焰火 表演 的 人群 造成 至少 NUM 人 死亡 NUM 人 受伤 的 惨剧
9,中国青年报·中青在线记者很想知道，至少在感性的角度，暴恐事件对游客、对旅游从业者的心理有什么样的影响？,1,中国青年报 中 青 在线 记者 很想 知道 至少 在 感性 的 角度 暴恐 事件 对 游客 对 旅游 从业者 的 心理 有 什么样 的 影响
